source_notice_id,linked_l1,linked_l2,candidate_l1,candidate_l2,score_l1,score_l2,margin_l1,margin_l2,confidence_tier_l1,confidence_tier_l2,mechanism_l2,link_status,l2_candidate_notice_id,l2_s_text,l2_s_cpv,l2_s_time,l2_s_buyer,l2_composite_score,l2_top1_top2_margin,l2_buyer_match_mechanism,l2_confidence_tier
21-146075,False,True,,25-141997,,0.39112352170344716,,0.39112352170344716,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-141997,0.22477316819844806,0.2,0.7098116513359615,0.75,0.39112352170344716,0.39112352170344716,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-156348,False,True,,26-11967,,0.5839070617185492,,0.23095204078364978,,HIGH,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,26-11967,0.01181380627426053,1.0,0.7590889180902322,0.9,0.5839070617185492,0.23095204078364978,SAME_SIREN_RECONCILIATION,HIGH
21-157552,False,True,,25-123316,,0.34273888573709366,,0.02038604148778783,,POTENTIAL,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,25-123316,0.023794350964000666,0.1,0.8576434515987735,0.9,0.34273888573709366,0.02038604148778783,SAME_SIREN_RECONCILIATION,POTENTIAL
21-161904,False,True,,26-45351,,0.41581900565508706,,0.027904054354766727,,POTENTIAL,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,26-45351,0.24823827033422657,0.1,0.835742444152431,0.9,0.41581900565508706,0.027904054354766727,SAME_SIREN_RECONCILIATION,POTENTIAL
21-170414,False,True,,25-57823,,0.32429295926692564,,0.03935959332793271,,POTENTIAL,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,25-57823,0.01769704775219484,0.0,0.9123959702146298,0.9,0.32429295926692564,0.03935959332793271,SAME_SIREN_RECONCILIATION,POTENTIAL
21-157863,False,True,,26-41056,,0.32379907159263677,,0.016271076648382676,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,26-41056,0.2116679562555407,0.0,0.6988611476127902,0.75,0.32379907159263677,0.016271076648382676,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-162690,False,True,,24-42667,,0.3467017786192076,,0.0917377359767545,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,24-42667,0.011488843736500678,0.1,0.9507227332457293,0.75,0.3467017786192076,0.0917377359767545,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
22-2168,False,True,,25-124007,,0.8494791109556056,,0.05259835390575529,,HIGH,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,25-124007,0.8370762909851045,1.0,0.6660096364432764,0.9,0.8494791109556056,0.05259835390575529,SAME_SIREN_RECONCILIATION,HIGH
22-7862,False,True,,26-11967,,0.4232334525071936,,0.058765646988139686,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,26-11967,0.019938642230051828,0.4,0.8850197109067017,0.75,0.4232334525071936,0.058765646988139686,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
22-2872,False,True,,22-157032,,0.3724784289090111,,0.3724784289090111,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,22-157032,0.32370096139074195,0.1,0.6167323696890057,0.75,0.3724784289090111,0.3724784289090111,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
22-1668,False,True,,24-134460,,0.7381631043071657,,0.7381631043071657,,HIGH,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,24-134460,0.4290799914063693,1.0,0.791940429259746,0.9,0.7381631043071657,0.7381631043071657,SAME_SIREN_RECONCILIATION,HIGH
22-18098,False,True,,25-134329,,0.5800331517852122,,0.004246227336155539,,POTENTIAL,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,25-134329,0.06331979916856191,1.0,0.6714848883048621,0.9,0.5800331517852122,0.004246227336155539,SAME_SIREN_RECONCILIATION,POTENTIAL
22-17364,False,True,,26-49296,,0.44130510161170244,,0.44130510161170244,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,26-49296,0.5007941267499114,0.1,0.6441086289969338,0.75,0.44130510161170244,0.44130510161170244,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
22-30678,False,True,,26-11967,,0.371957709536506,,0.013795897825849168,,POTENTIAL,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,26-11967,0.01765152477547481,0.2,0.8631187034603591,0.9,0.371957709536506,0.013795897825849168,SAME_SIREN_RECONCILIATION,POTENTIAL
