stratum_dim,stratum_value,flag_a,flag_b,joint_rate,n
dept_primary,44,siret_or_siren_missing,cpv_missing_or_generic,0.2457614493012723,33561
dept_primary,45,siret_or_siren_missing,cpv_missing_or_generic,0.1875,160
dept_primary,46,siret_or_siren_missing,cpv_missing_or_generic,1.0,1
dept_primary,47,siret_or_siren_missing,cpv_missing_or_generic,0.5,2
dept_primary,49,siret_or_siren_missing,cpv_missing_or_generic,0.26991748951711075,14786
dept_primary,5,siret_or_siren_missing,cpv_missing_or_generic,0.3333333333333333,3
dept_primary,50,siret_or_siren_missing,cpv_missing_or_generic,0.42696629213483145,89
dept_primary,51,siret_or_siren_missing,cpv_missing_or_generic,0.2,5
dept_primary,52,siret_or_siren_missing,cpv_missing_or_generic,0.0,1
dept_primary,53,siret_or_siren_missing,cpv_missing_or_generic,0.2594059405940594,4040
dept_primary,54,siret_or_siren_missing,cpv_missing_or_generic,0.16666666666666666,6
dept_primary,56,siret_or_siren_missing,cpv_missing_or_generic,0.4638447971781305,567
dept_primary,57,siret_or_siren_missing,cpv_missing_or_generic,0.019230769230769232,52
dept_primary,59,siret_or_siren_missing,cpv_missing_or_generic,0.12903225806451613,31
dept_primary,6,siret_or_siren_missing,cpv_missing_or_generic,0.3333333333333333,30
dept_primary,60,siret_or_siren_missing,cpv_missing_or_generic,0.08333333333333333,12
dept_primary,61,siret_or_siren_missing,cpv_missing_or_generic,0.28046989720998533,681
dept_primary,62,siret_or_siren_missing,cpv_missing_or_generic,0.3333333333333333,6
dept_primary,63,siret_or_siren_missing,cpv_missing_or_generic,1.0,3
dept_primary,64,siret_or_siren_missing,cpv_missing_or_generic,0.3333333333333333,18
dept_primary,65,siret_or_siren_missing,cpv_missing_or_generic,0.1111111111111111,9
dept_primary,66,siret_or_siren_missing,cpv_missing_or_generic,0.5,2
dept_primary,67,siret_or_siren_missing,cpv_missing_or_generic,0.5,4
dept_primary,68,siret_or_siren_missing,cpv_missing_or_generic,0.0,3
dept_primary,69,siret_or_siren_missing,cpv_missing_or_generic,0.3246753246753247,77
dept_primary,7,siret_or_siren_missing,cpv_missing_or_generic,0.0,1
dept_primary,70,siret_or_siren_missing,cpv_missing_or_generic,0.0,5
dept_primary,71,siret_or_siren_missing,cpv_missing_or_generic,1.0,1
dept_primary,72,siret_or_siren_missing,cpv_missing_or_generic,0.1884752855025717,11471
dept_primary,75,siret_or_siren_missing,cpv_missing_or_generic,0.15902140672782875,654
dept_primary,76,siret_or_siren_missing,cpv_missing_or_generic,0.1937984496124031,129
dept_primary,77,siret_or_siren_missing,cpv_missing_or_generic,0.4,95
dept_primary,78,siret_or_siren_missing,cpv_missing_or_generic,0.1,20
dept_primary,79,siret_or_siren_missing,cpv_missing_or_generic,0.24070450097847357,511
dept_primary,8,siret_or_siren_missing,cpv_missing_or_generic,0.0,5
