source_notice_id,candidate_notice_id,candidate_rank,n_candidates_for_source,top1_top2_margin,composite_score,s_text,s_cpv,s_time,s_buyer,gap_months,abs_gap_to_expected_end,gradient_boosting_score,logistic_score
15-55830,16-5452,1,9,0.0097747969171224,0.2990329402331207,0.1570392372845439,0.2,0.4962768287341218,0.6,9.034165571616294,3.0223390275952693,0.05071350473760579,0.710143175875133
15-56649,16-20762,1,2,0.0657486613562852,0.2928341110027601,0.0243918095479649,0.0,0.7371879106438897,1.0,9.95400788436268,1.5768725361366622,0.0015174032935462492,0.41333880911000276
15-56776,15-115991,1,4,0.0675716395127248,0.2977034158285749,0.0391738919174477,0.0,0.8959702146298729,0.6,3.383705650459921,0.6241787122207622,0.0006525392880386677,0.05002034292761849
15-58213,16-16005,1,1,0.2165629994828119,0.2165629994828119,0.0736103220314869,0.1,0.403197547087166,0.6,9.592641261498027,3.580814717477004,0.2923797429582545,0.8308160289359234
15-58224,15-178562,1,4,0.1176404081052313,0.3344591494910936,0.0744449512398055,0.2,0.7536136662286466,0.6,7.35873850197109,1.4783180026281209,0.015887497331709115,0.3964589331394917
15-58339,15-175690,1,5,0.0788879626340282,0.5982373297281363,0.2714421172258746,1.0,0.5729303547963207,0.6,7.128777923784494,2.562417871222076,0.950594913743136,0.99912786837695
15-58971,16-36754,1,1,0.177912825744729,0.177912825744729,0.1235279158691149,0.1,0.1787122207621551,0.6,10.939553219448094,4.92772667542707,0.3058222607901377,0.8311795506698443
15-58989,15-105085,1,2,0.1811249667257728,0.4829912419415887,0.0360290411772068,1.0,0.4415243101182654,0.6,2.6609724047306176,3.350854139290407,0.9233138476543599,0.996933734694048
15-59370,15-92216,1,11,0.0172598090061074,0.4609855660643657,0.0670171420123232,1.0,0.3101182654402102,0.6,1.8725361366622864,4.139290407358739,0.8579152468712898,0.9832864452079043
15-59425,16-55322,1,10,0.0252868782931748,0.3489463193969681,0.0333827009364599,0.1,0.9890494962768288,0.6,11.957950065703022,0.0657030223390276,0.01669570778265669,0.8776011070261731
15-59556,16-15210,1,7,0.0032614804118622,0.3183870440401231,0.031784771345474,0.0,0.9890494962768288,0.6,9.461235216819974,0.0657030223390276,0.016826971543553358,0.8399375892392702
