variant,algorithm,scenario,world,n_pairs,n_truth,n_reachable,blocking_recall,n_pred,tp,precision,recall_conditional,recall_end_to_end,threshold,f1_conditional,f1_end_to_end
dur_w18,gradient_boosting,difficult,008,47894,899,351,0.39043381535038935,320,184,0.575,0.5242165242165242,0.20467185761957732,0.31297400840638917,0.5484351713859911,0.3018867924528302
dur_w18,gradient_boosting,difficult,009,76333,1151,459,0.3987836663770634,390,235,0.6025641025641025,0.5119825708061002,0.20417028670721113,0.31297400840638917,0.5535924617196702,0.30499675535366644
dur_w18,gradient_boosting,difficult,010,71026,1105,525,0.4751131221719457,399,247,0.6190476190476191,0.4704761904761905,0.2235294117647059,0.31297400840638917,0.5346320346320347,0.32845744680851063
dur_w18,gradient_boosting,easier,007,49484,2524,1840,0.7290015847860539,1908,1453,0.7615303983228512,0.7896739130434782,0.5756735340729001,0.31297400840638917,0.7753468516542156,0.6556859205776172
dur_w18,gradient_boosting,easier,008,57075,3204,2134,0.6660424469413233,2399,1788,0.7453105460608587,0.837863167760075,0.5580524344569289,0.31297400840638917,0.7888815354070152,0.6382295199000536
dur_w18,gradient_boosting,easier,009,38504,2895,2206,0.7620034542314335,2451,1798,0.733578131374949,0.815049864007253,0.6210708117443868,0.31297400840638917,0.772170925488512,0.6726524504302281
dur_w18,gradient_boosting,easier,010,62268,3084,2321,0.7525940337224384,2531,1904,0.7522718293164757,0.8203360620422232,0.6173800259403373,0.31297400840638917,0.7848309975267932,0.6781834372217275
dur_w18,gradient_boosting,stress,007,157735,1154,297,0.25736568457538994,286,80,0.27972027972027974,0.26936026936026936,0.06932409012131716,0.31297400840638917,0.27444253859348205,0.1111111111111111
dur_w18,gradient_boosting,stress,008,113872,1006,283,0.2813121272365805,295,73,0.24745762711864408,0.2579505300353357,0.07256461232604373,0.31297400840638917,0.25259515570934254,0.11222136817832436
dur_w18,gradient_boosting,stress,009,106419,972,286,0.294238683127572,329,90,0.2735562310030395,0.3146853146853147,0.09259259259259259,0.31297400840638917,0.2926829268292683,0.13835511145272866
dur_w18,gradient_boosting,stress,010,86431,766,242,0.31592689295039167,275,78,0.28363636363636363,0.32231404958677684,0.10182767624020887,0.31297400840638917,0.3017408123791102,0.14985590778097982
dur_w18,current_weighted_composite,central_provisional,007,29696,1469,1036,0.7052416609938734,2460,682,0.27723577235772356,0.6583011583011583,0.46426140231449964,0.3431669423310381,0.3901601830663615,0.34716212776787986
dur_w18,current_weighted_composite,central_provisional,008,33468,1712,1012,0.5911214953271028,2724,726,0.2665198237885463,0.717391304347826,0.42406542056074764,0.3431669423310381,0.3886509635974304,0.327321911632101
dur_w18,current_weighted_composite,central_provisional,009,18507,1552,1068,0.6881443298969072,2314,755,0.3262748487467589,0.7069288389513109,0.48646907216494845,0.3431669423310381,0.44648137196924903,0.39058458354888775
dur_w18,current_weighted_composite,central_provisional,010,33859,1755,1225,0.698005698005698,2843,844,0.2968695040450229,0.6889795918367347,0.4809116809116809,0.3431669423310381,0.4149459193706982,0.3671161374510657
