source_notice_id,candidate_notice_id,buyer_key_type,buyer_key,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used
17-54834,17-178496,NAME_FALLBACK,NAME:commune de saint-nazaire,2017-04-22,2017-12-21,7.982917214191852,2017-12-06,0.49277266754270693,0.9178712220762155,0.2880568941949442,0.0,0.6,0.39028771848728433,False,False,1,0.01602222193807018,12,POTENTIAL,broad,0.27838673159124894
17-55087,17-143219,NAME_FALLBACK,NAME:nantes metropole,2017-04-21,2017-10-11,5.683311432325887,2017-10-21,0.328515111695138,0.9452474813841437,0.28643386399470105,0.1,0.6,0.42656372274418125,True,False,1,0.01706713438849411,29,POTENTIAL,broad,0.27838673159124894
17-56452,17-171316,RAW_SIRET,SIRET:23440003400026,2017-04-23,2017-12-07,7.490144546649145,2017-12-11,0.1314060446780552,0.9780989925536575,0.05257985947156034,0.0,1.0,0.36292769895346055,False,False,1,0.007221322507721006,7,POTENTIAL,broad,0.27838673159124894
17-56720,18-8615,NAME_FALLBACK,NAME:gcs esante pays de la loire,2017-04-26,2018-01-20,8.83705650459921,2018-05-22,4.0078843626806835,0.33201927288655275,0.07863815058489741,0.4,0.6,0.2905281709263523,False,False,1,0.2905281709263523,1,MEDIUM,broad,0.27838673159124894
17-58113,17-68883,NAME_FALLBACK,NAME:arafer,2017-04-28,2017-05-19,0.6898817345597897,2017-10-28,5.321944809461235,0.11300919842312751,0.9999999999999999,1.0,0.6,0.7382522996057819,False,False,1,0.7382522996057819,1,HIGH,broad,0.27838673159124894
17-58214,17-129614,NAME_FALLBACK,NAME:nantes metropole,2017-04-30,2017-12-21,7.720105124835742,2017-10-30,1.7082785808147174,0.7152869031975471,0.25200948673992835,1.0,0.6,0.6270250461583617,False,False,1,0.05780250451792979,29,HIGH,broad,0.27838673159124894
17-58486,18-76556,NAME_FALLBACK,NAME:chu de nantes,2017-04-28,2018-06-06,13.272010512483574,2018-03-10,2.890932982917214,0.5181778361804643,0.01772113124045111,0.4,0.6,0.31574685497927396,False,False,1,0.007626963385888141,7,POTENTIAL,broad,0.27838673159124894
17-59442,17-115928,NAME_FALLBACK,NAME:ademe,2017-05-19,2017-08-25,3.219448094612352,2018-01-15,4.697766097240473,0.21703898379325448,0.9999999999999996,1.0,0.6,0.7642597459483134,False,False,1,0.3472097127184082,5,HIGH,broad,0.27838673159124894
17-6085,17-105683,RAW_SIRET,SIRET:24720013200014,2017-01-15,2017-07-23,6.2089356110381075,2017-10-27,3.1537450722733245,0.4743758212877792,0.8665608688405348,0.0,1.0,0.521890259416132,False,False,1,0.36748512315452675,2,HIGH,broad,0.27838673159124894
17-61541,17-159373,NAME_FALLBACK,NAME:chu de nantes,2017-05-05,2017-11-12,6.274638633377135,2018-02-20,3.2851511169513796,0.45247481384143673,0.008844898053713066,1.0,0.6,0.47621441777915874,False,False,1,0.12825529395729524,5,MEDIUM,broad,0.27838673159124894
17-62129,17-140377,NAME_FALLBACK,NAME:conseil regional des pays de la loire,2017-05-04,2017-10-05,5.059132720105125,2017-11-04,0.9855453350854139,0.835742444152431,0.026188342548676205,0.4,0.6,0.3981015309301444,False,False,1,0.09229363882959635,17,MEDIUM,broad,0.27838673159124894
17-62873,17-124586,RAW_SIRET,SIRET:19490970100303,2017-05-07,2017-09-07,4.040735873850197,2018-01-22,4.50065703022339,0.24989049496276827,1.0,1.0,1.0,0.812472623740692,False,False,1,0.5112879768632475,4,HIGH,broad,0.27838673159124894
17-65753,18-18447,NAME_FALLBACK,NAME:nantes metropole,2017-05-11,2018-02-09,9.00131406044678,2017-11-11,2.9566360052562417,0.5072273324572931,0.6142114018460783,0.1,0.6,0.4317808237604506,True,False,1,0.012904927098154828,29,POTENTIAL,broad,0.27838673159124894
17-66007,17-80512,NAME_FALLBACK,NAME:ch le mans,2017-05-12,2017-06-09,0.9198423127463863,2017-11-12,5.124835742444152,0.1458607095926413,0.043272431157743325,1.0,0.6,0.41161052830337047,False,False,1,0.28464289293618494,2,MEDIUM,broad,0.27838673159124894
17-6714,17-124586,RAW_SIRET,SIRET:19490970100303,2017-01-18,2017-09-07,7.621550591327201,2017-10-08,1.0183968462549278,0.8302671922908453,1.0,1.0,1.0,0.9575667980727113,False,False,1,0.1683639947437583,5,HIGH,broad,0.27838673159124894
17-67752,17-108459,NAME_FALLBACK,NAME:gpm de nantes - st nazaire,2017-05-16,2017-07-27,2.3653088042049935,2017-09-16,1.6754270696452036,0.7207621550591328,0.09283353578652069,0.1,0.6,0.30268227629006544,True,False,1,0.028118985772753013,3,POTENTIAL,broad,0.27838673159124894
17-68186,18-101994,NAME_FALLBACK,NAME:conseil regional des pays de la loire,2017-05-18,2018-07-19,14.027595269382392,2018-06-20,0.9526938239159001,0.8412176960140166,0.2738535113633949,0.1,0.6,0.39615315298069237,True,True,1,0.08695898309236338,9,MEDIUM,broad,0.27838673159124894
17-68985,18-90097,NAME_FALLBACK,NAME:nantes metropole,2017-06-07,2018-06-30,12.746386333771353,2018-06-09,0.6898817345597897,0.8850197109067017,0.031057911637278376,0.2,0.6,0.3521251967997229,False,True,1,0.011885466779910647,25,POTENTIAL,broad,0.27838673159124894
17-71407,19-59985,NAME_FALLBACK,NAME:chu de nantes,2017-05-24,2019-04-17,22.766097240473062,2019-01-26,2.6609724047306176,0.5565045992115638,0.18386503297521478,0.2,0.6,0.32347891134421614,False,True,1,0.013766695031538712,5,POTENTIAL,broad,0.27838673159124894
17-7154,17-108459,NAME_FALLBACK,NAME:gpm de nantes - st nazaire,2017-01-16,2017-07-27,6.307490144546649,2017-07-16,0.36136662286465177,0.939772229522558,0.026555252920593686,0.1,0.6,0.3342373959028473,True,False,1,0.07481591171120805,8,MEDIUM,broad,0.27838673159124894
17-71849,18-46804,NAME_FALLBACK,NAME:conseil regional des pays de la loire,2017-05-24,2018-04-05,10.38107752956636,2018-04-01,0.1314060446780552,0.9780989925536575,0.19499210408191434,0.0,0.6,0.3727719845670844,False,False,1,0.010380249705057132,12,POTENTIAL,broad,0.27838673159124894
