source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin
16-71885,17-55087,2016-05-23,2017-04-21,NAME:nantes metropole,NAME_FALLBACK,10.939553219448094,2016-11-23,4.894875164257556,0.1841874726237407,0.023981288507593214,0.1,0.6,0.1444403191335928,True,False,12,16,0.004256198870852934
16-71885,16-80903,2016-05-23,2016-06-03,NAME:nantes metropole,NAME_FALLBACK,0.36136662286465177,2016-11-23,5.683311432325887,0.05278142794568552,0.11332908695386333,0.1,0.6,0.14286053742027355,True,False,13,16,0.004256198870852934
16-71885,17-58214,2016-05-23,2017-04-30,NAME:nantes metropole,NAME_FALLBACK,11.235216819973719,2016-11-23,5.19053876478318,0.13491020586947,0.021956806283295806,0.1,0.6,0.13141243366652103,True,False,14,16,0.004256198870852934
16-71885,17-53540,2016-05-23,2017-05-05,NAME:nantes metropole,NAME_FALLBACK,11.399474375821287,2016-11-23,5.354796320630749,0.1075339465615418,0.010903223052528473,0.1,0.6,0.12069961470877041,True,False,15,16,0.004256198870852934
16-71885,17-65753,2016-05-23,2017-05-11,NAME:nantes metropole,NAME_FALLBACK,11.59658344283837,2016-11-23,5.551905387647832,0.07468243539202801,0.011396911419849082,0.1,0.6,0.11265952784495417,True,False,16,16,0.004256198870852934
16-72442,17-93666,2016-05-22,2017-07-03,NAME:chu de nantes,NAME_FALLBACK,13.370565045992116,2017-06-17,0.5256241787122208,0.9123959702146298,0.04069240918969039,1.0,0.6,0.6023413357700491,False,False,1,10,0.02053219448094623
16-72442,17-102482,2016-05-22,2017-07-18,NAME:chu de nantes,NAME_FALLBACK,13.863337713534822,2017-06-17,1.0183968462549278,0.8302671922908453,0.04069240918969039,1.0,0.6,0.5818091412891029,False,False,2,10,0.02053219448094623
16-72442,17-61541,2016-05-22,2017-05-05,NAME:chu de nantes,NAME_FALLBACK,11.432325886990801,2017-06-17,1.4126149802890933,0.7645641699518178,0.013167549034798496,0.8,0.6,0.49574968465013386,False,False,3,10,0.02053219448094623
16-72442,17-58486,2016-05-22,2017-04-28,NAME:chu de nantes,NAME_FALLBACK,11.202365308804204,2017-06-17,1.6425755584756898,0.7262374069207184,0.08733690084350382,0.4,0.6,0.39212726702540596,False,False,4,10,0.02053219448094623
16-72442,17-159373,2016-05-22,2017-11-12,NAME:chu de nantes,NAME_FALLBACK,17.706964520367936,2017-06-17,4.862023653088042,0.18966272448532628,0.009201764107442246,0.8,0.6,0.35063629855893635,False,False,5,10,0.02053219448094623
