notice_id,publication_date,buyer_name_raw,buyer_name_normalized,buyer_key,buyer_key_type,buyer_identity_source,buyer_identity_confidence,enrichment_join_status,department_key
21-138925,2021-10-18,CDC du Pays de Saint Gilles Cx de Vie,cdc du pays de saint gilles cx de vie,NAME:cdc du pays de saint gilles cx de vie,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-144057,2021-10-26,SDIS49,sdis49,NAME:sdis49,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,35;44;49;53;85
21-137487,2021-10-15,Vendée Expansion,vendee expansion,NAME:vendee expansion,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-139413,2021-10-20,MAIRIE DE LA CHAPELLE SUR ERDRE,mairie de la chapelle sur erdre,NAME:mairie de la chapelle sur erdre,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-129937,2021-10-01,Ville de Nantes,ville de nantes,NAME:ville de nantes,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-141864,2021-10-24,CCIR Pays de la Loire,ccir pays de la loire,NAME:ccir pays de la loire,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-143183,2021-10-25,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-132073,2021-10-01,SDE35,sde35,NAME:sde35,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,35;44
21-135182,2021-10-08,Régie Dépt Passages d'Eau de Vendée,regie dept passages d eau de vendee,NAME:regie dept passages d eau de vendee,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-138338,2021-10-15,CC PAYS DE FONTENAY VENDEE,cc pays de fontenay vendee,NAME:cc pays de fontenay vendee,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-144079,2021-10-28,Ecole National Sup. d'Arts et Métiers,ecole national sup d arts et metiers,NAME:ecole national sup d arts et metiers,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,13;33;49;51;57;59;71;75
21-141238,2021-10-21,Cté de Communes de la Région de Blain,cte de communes de la region de blain,NAME:cte de communes de la region de blain,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-143481,2021-10-26,SCA/PFAF SO,sca pfaf so,NAME:sca pfaf so,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,19;31;38;56;57;63;68;72;88
21-145412,2021-10-31,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-142703,2021-10-27,CHAMBRE REG AGRI PAYS DE LA LOIRE,chambre reg agri pays de la loire,NAME:chambre reg agri pays de la loire,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,14;35;49;71;75
21-134527,2021-10-07,Rectorat de l'Académie de Nantes,rectorat de l academie de nantes,NAME:rectorat de l academie de nantes,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44;49
21-133662,2021-10-08,e-Collectivités Vendée,e-collectivites vendee,NAME:e-collectivites vendee,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-133433,2021-10-05,SYNDICAT MIXTE POUR LE DVLPT NUMERIQUE,syndicat mixte pour le dvlpt numerique,NAME:syndicat mixte pour le dvlpt numerique,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,72
21-152470,2021-11-17,Ville de Nantes,ville de nantes,NAME:ville de nantes,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-153479,2021-11-19,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-147552,2021-11-04,CDC du Pays de Saint Gilles Cx de Vie,cdc du pays de saint gilles cx de vie,NAME:cdc du pays de saint gilles cx de vie,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-155128,2021-11-23,CD 44,cd 44,NAME:cd 44,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-155377,2021-11-24,Réseau Canopé,reseau canope,NAME:reseau canope,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,13;17;44;75;76;78;79;85;86
21-147677,2021-11-06,METROPOLE NANTES METROPOLE,metropole nantes metropole,NAME:metropole nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-150615,2021-11-14,Institut Régional Administration Lyon,institut regional administration lyon,NAME:institut regional administration lyon,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44;57;59;69;75
21-152380,2021-11-17,GIE des EPL de Vendée,gie des epl de vendee,NAME:gie des epl de vendee,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-148591,2021-11-10,Laval Agglomération,laval agglomeration,NAME:laval agglomeration,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,53
21-150402,2021-11-14,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
