notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,buyer_key_l2,buyer_identity_source,buyer_identity_confidence,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,buyer_match_mechanism,variant
15-33752,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-03-06,2015-10-08,2016-04-08,2026-07-13,72,72310,DIGITAL_ICT,True,6.0,True,SIREN:234400034,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,13.863337713534822,16-61484,0.39833831955011423,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-45169,NAME:vendee eau,NAME_FALLBACK,2015-03-27,2015-07-02,2016-01-02,2026-07-13,72,72315,DIGITAL_ICT,True,6.0,True,SIREN:258500222,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,7.063074901445466,15-159973,0.3800598018619223,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-32051,NAME:caisse des depots,NAME_FALLBACK,2015-03-04,2015-03-04,2015-09-04,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:caisse des depots,NAME_FALLBACK,LOW,1,1.3469119579500657,15-56571,0.45162183808499695,POTENTIAL,M0_NAME_FALLBACK,balanced
15-35224,NAME:centre hospitalier de laval,NAME_FALLBACK,2015-03-09,2015-03-09,2015-07-09,2026-07-13,30,30236,DIGITAL_ICT,True,4.0,True,NAME:centre hospitalier de laval,NAME_FALLBACK,LOW,0,136.13666228646517,,,,,balanced
15-37182,NAME:mindef dga dt scat,NAME_FALLBACK,2015-03-11,2015-03-11,2015-08-11,2026-07-13,35,35125,DIGITAL_ICT,True,5.0,True,NAME:mindef dga dt scat,NAME_FALLBACK,LOW,0,136.07095926412615,,,,,balanced
15-45496,NAME:commune de saint-barthelemy-d anjou,NAME_FALLBACK,2015-03-26,2015-03-26,2015-08-26,2026-07-13,35,35111,DIGITAL_ICT,True,5.0,True,NAME:commune de saint-barthelemy-d anjou,NAME_FALLBACK,LOW,0,135.57818659658344,,,,,balanced
15-42247,NAME:communaute de communes derval,NAME_FALLBACK,2015-03-19,2015-03-19,2015-09-19,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:communaute de communes derval,NAME_FALLBACK,LOW,0,135.80814717477003,,,,,balanced
15-44894,NAME:prefecture,NAME_FALLBACK,2015-03-24,2015-03-24,2015-09-24,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:prefecture,NAME_FALLBACK,LOW,1,4.664914586070959,15-126736,0.42936634804185253,MEDIUM,M0_NAME_FALLBACK,balanced
15-33241,NAME:chu de nantes,NAME_FALLBACK,2015-03-05,2015-09-17,2016-01-17,2026-07-13,32,32510,DIGITAL_ICT,True,4.0,True,SIREN:264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,136.26806833114324,,,,,balanced
15-43149,NAME:sdis 85,NAME_FALLBACK,2015-03-20,2015-07-20,2015-11-20,2026-07-13,32,32522,DIGITAL_ICT,True,4.0,True,SIREN:288500010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,135.77529566360053,,,,,balanced
15-47696,SIRET:12000601000058,RAW_SIRET,2015-03-30,2015-03-30,2015-09-30,2026-07-13,72,72500,DIGITAL_ICT,True,6.0,True,SIRET:12000601000058,DIRECT_BOAMP_SIRET,HIGH,1,0.2956636005256242,15-52664,0.7066228536529197,HIGH,EXACT_SIRET_RECONCILIATION,balanced
15-40940,NAME:carene,NAME_FALLBACK,2015-03-17,2015-03-17,2015-09-17,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:carene,NAME_FALLBACK,LOW,0,135.87385019710908,,,,,balanced
