source_notice_id,candidate_notice_id,repair_rule_pass,repair_failure_reasons,s_text,s_cpv,composite_score,gradient_boosting_score,top1_top2_margin,source_etat,candidate_etat,source_annonce_lie,candidate_annonce_lie,source_token_count,candidate_token_count
16-30120,16-184210,True,,0.4458896531712335,1.0,0.5593706208350739,0.9146060310254248,0.2227746126050122,INITIAL,INITIAL,,,25,9
16-36374,17-17888,False,TEXT_MIN,0.0906682240850747,0.1,0.1732559984472969,0.2702194186802205,0.1732559984472969,INITIAL,INITIAL,,,7,20
16-40204,16-56698,False,TEXT_MIN,0.2212191130585583,1.0,0.5176938818613408,0.8276059115455561,0.1700504302625672,INITIAL,INITIAL,,,13,13
16-45870,16-70219,False,TEXT_MIN,0.0771266674825798,1.0,0.4508357703249914,0.8490238826920968,0.0338758581004445,INITIAL,INITIAL,,,22,17
16-48232,16-184210,False,INITIAL_SOURCE,0.4394993116622685,1.0,0.5571340013069364,0.916212627534603,0.2209306554799885,RECTIFICATIF,INITIAL,16-30120,,27,9
16-49315,16-153372,True,,0.8856946757810544,0.1,0.6294609420424229,0.6163496580081399,0.6294609420424229,INITIAL,INITIAL,,,26,23
16-54252,16-145577,True,,0.909269244460772,0.1,0.6459249188727025,0.351051109229554,0.507966899064578,INITIAL,INITIAL,,,21,18
16-55219,16-105530,True,,1.0,1.0,0.8285939553219448,0.9314835763696512,0.54587300550529,INITIAL,INITIAL,,,5,5
16-56502,16-173647,False,TEXT_MIN,0.2394946640791782,1.0,0.6349641749156669,0.9719953192709768,0.6349641749156669,INITIAL,INITIAL,,,19,8
16-57562,16-70219,False,TEXT_MIN,0.1126273011757576,1.0,0.4290406679826934,0.7449949192300906,0.025890844372781,INITIAL,INITIAL,,,15,17
16-577,16-98551,False,TEXT_MIN,0.0747933691662256,0.1,0.2717295845958268,0.2557965598429113,0.2717295845958268,INITIAL,INITIAL,,,9,10
16-61061,16-127032,False,TEXT_MIN,0.1773061344659657,1.0,0.5899283691393036,0.9499147344967108,0.2437252626700592,INITIAL,INITIAL,,,20,23
16-68875,17-13004,False,TEXT_MIN,0.148775187358154,0.1,0.2894103431706233,0.2709754693224691,0.2894103431706233,INITIAL,INITIAL,,,26,9
16-72442,17-93666,False,TEXT_MIN,0.0406924091896903,1.0,0.6023413357700491,0.8973474757119939,0.0205321944809462,INITIAL,INITIAL,,,22,13
16-73358,16-166758,True,,0.3115353076491565,1.0,0.7026116020924478,0.9494348649771844,0.0768032021921101,INITIAL,INITIAL,,,12,9
16-79523,17-54834,False,TEXT_MIN,0.0340548581806647,1.0,0.5192582279585021,0.9147189502949687,0.2102030789537251,INITIAL,INITIAL,,,6,15
16-81005,16-158508,True,,0.3420861055993441,1.0,0.6831904961362927,0.9532640181488614,0.376430506201852,INITIAL,INITIAL,,,15,7
