source_notice_id,candidate_notice_id,repair_rule_pass,repair_failure_reasons,s_text,s_cpv,composite_score,top1_top2_margin,source_etat,candidate_etat,source_annonce_lie,candidate_annonce_lie,source_token_count,candidate_token_count
16-2771,16-172610,False,TEXT_MIN;INITIAL_SOURCE,0.0117933820852789,0.4,0.375268726217802,0.375268726217802,RECTIFICATIF,INITIAL,15-185112,,17,16
16-2845,16-9226,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.9007247039069048,1.0,0.688449003353838,0.2810678985770682,INITIAL,RECTIFICATIF,,16-2845,19,22
16-28465,16-39068,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.952547012876016,0.1,0.443430876320009,0.443430876320009,INITIAL,RECTIFICATIF,,16-28465,15,14
16-30120,16-184210,True,,0.4458896531712335,1.0,0.5593706208350739,0.2227746126050122,INITIAL,INITIAL,,,25,9
16-31513,16-128178,False,TEXT_MIN,0.0888368490859367,0.1,0.3642488323530958,0.0058570246495512,INITIAL,INITIAL,,,20,14
16-32105,16-151887,True,,0.3752907058982723,0.2,0.4999829340989989,0.4999829340989989,INITIAL,INITIAL,,,11,15
16-32977,16-170106,False,TEXT_MIN,0.0874963733328409,0.6,0.3727919304036822,0.3727919304036822,INITIAL,INITIAL,,,10,22
16-33283,16-128161,False,TEXT_MIN,0.0330705914157165,0.2,0.3802058940301043,0.0166727812757896,INITIAL,INITIAL,,,18,15
16-33632,16-128161,False,TEXT_MIN,0.0032093888780944,0.4,0.4283856601765402,0.0661987879247927,INITIAL,INITIAL,,,14,15
16-35152,17-8714,False,TEXT_MIN,0.2192824766984437,0.2,0.4070532908479594,0.0511136009182977,INITIAL,INITIAL,,,24,28
16-37108,17-55087,True,,0.3684787842799811,0.1,0.3977893002973802,0.0046617749250838,INITIAL,INITIAL,,,27,24
16-40204,16-56698,False,TEXT_MIN,0.2212191130585583,1.0,0.5176938818613408,0.1700504302625672,INITIAL,INITIAL,,,13,13
16-45870,16-70219,False,TEXT_MIN,0.0771266674825798,1.0,0.4508357703249914,0.0338758581004445,INITIAL,INITIAL,,,22,17
16-48232,16-184210,False,INITIAL_SOURCE,0.4394993116622685,1.0,0.5571340013069364,0.2209306554799885,RECTIFICATIF,INITIAL,16-30120,,27,9
16-49315,16-153372,True,,0.8856946757810544,0.1,0.6294609420424229,0.6294609420424229,INITIAL,INITIAL,,,26,23
16-5277,17-23552,False,TEXT_MIN,0.168124584008346,0.0,0.3537866617835606,0.0450410358597208,INITIAL,INITIAL,,,16,15
16-54197,16-153330,False,TEXT_MIN,0.033148821330293,0.2,0.3692827707770348,0.0490396896308371,INITIAL,INITIAL,,,28,8
16-54252,16-145577,True,,0.909269244460772,0.1,0.6459249188727025,0.507966899064578,INITIAL,INITIAL,,,21,18
16-54370,16-153330,False,TEXT_MIN,0.0148212618277593,0.2,0.3628681249511481,0.0455059216807196,INITIAL,INITIAL,,,26,8
16-55219,16-105530,True,,1.0,1.0,0.8285939553219448,0.54587300550529,INITIAL,INITIAL,,,5,5
16-56502,16-173647,False,TEXT_MIN,0.2394946640791782,1.0,0.6349641749156669,0.6349641749156669,INITIAL,INITIAL,,,19,8
16-57014,16-155479,False,TEXT_MIN,0.1456430711005898,0.1,0.3813933841274315,0.0472727669469166,INITIAL,INITIAL,,,23,22
16-57562,16-70307,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.958029713669418,0.1,0.4549315123554745,0.025890844372781,INITIAL,RECTIFICATIF,,16-57562,15,16
