source_notice_id,candidate_notice_id,candidate_rank,m0_composite_score,in_balanced_linked_set,posterior_M
15-169941,17-71852,1,0.0800312813547469,False,0.005542588156924004
15-170544,16-18733,1,0.3200382710658783,False,0.0014884141798002933
15-171733,16-85256,1,0.3140650613966856,False,0.00046206381052502874
15-173090,20-31844,1,0.3807227332457293,True,0.009190080492579418
15-173090,20-35694,2,0.3015751186871589,False,0.0004589857164759591
15-173090,20-25372,3,0.2943732286829101,False,0.0031635600364941963
15-173090,20-96600,4,0.1357127278584245,False,0.0010924857426333938
15-174358,20-31844,1,0.3807227332457293,True,0.009190080492579418
15-174358,20-35694,2,0.2933591104462811,False,0.0004829343196384881
15-174358,20-25372,3,0.2862242168884368,False,0.0034210473467567886
15-174358,20-96600,4,0.127292419235856,False,0.0011918571565086421
15-174987,19-136955,1,0.8097214671190311,True,0.999999999999
15-174987,19-169306,2,0.3571602871873393,False,0.0011620846236554026
15-174987,19-169787,3,0.3326355390489249,False,0.000832232248130953
15-174987,19-176963,4,0.304410165166787,False,0.0009983446639878462
15-174987,20-10269,5,0.2230117419823646,False,0.00320812998406379
15-174987,20-31457,6,0.1642634264822637,False,0.005890535214451593
15-174987,19-127477,7,0.1529345838242449,False,0.00074643336144784
15-174987,19-85688,8,0.1433379316295714,False,0.0014060688491386417
15-175210,20-32203,1,0.3727430847447172,True,0.000776542972865988
15-175210,20-26585,2,0.3700822449708392,False,0.0006631114148981651
15-175210,20-34392,3,0.3642615768173812,False,0.0008168176554412764
15-175210,20-26328,4,0.360365381998512,False,0.0007246415760591152
15-175210,20-12070,5,0.3246772882740035,False,0.0007180941957972698
15-175210,20-86796,6,0.3245346549436996,False,0.015745936274812414
15-175210,20-21049,7,0.3207193412265859,False,0.00047685020272512615
15-175210,20-37940,8,0.3170366009920997,False,0.0031922787463852594
15-175210,20-25276,9,0.3109885333061505,False,0.0031803811841399684
15-175210,20-54283,10,0.3054026193053356,False,0.0008007237170716709
15-175210,20-66643,11,0.2831027735464357,False,0.0006518668840353267
15-175210,19-191665,12,0.2782169796630863,False,0.0008714141470298391
15-175210,20-11000,13,0.2665322667094618,False,0.0032866576991408664
15-175210,19-189628,14,0.2430552940611656,False,0.0005274777192137537
15-175210,20-49949,15,0.2391521282849028,False,0.0034524199885704954
