candidate_notice_id,times_selected,buyer_match_mechanism
20-125567,1,HISTORICAL_ALIAS_RECONCILIATION
18-103711,1,M0_NAME_FALLBACK
20-138135,1,HISTORICAL_ALIAS_RECONCILIATION
19-174098,1,HISTORICAL_ALIAS_RECONCILIATION
20-135543,1,HISTORICAL_ALIAS_RECONCILIATION
19-99589,1,M0_NAME_FALLBACK
19-160018,1,M0_NAME_FALLBACK
20-26328,1,M0_NAME_FALLBACK
21-17328,1,HISTORICAL_ALIAS_RECONCILIATION
20-58079,1,EXACT_SIRET_RECONCILIATION
19-80203,1,HISTORICAL_ALIAS_RECONCILIATION
16-137769,1,M0_NAME_FALLBACK
18-38591,1,M0_NAME_FALLBACK
18-141270,1,HISTORICAL_ALIAS_RECONCILIATION
20-25372,1,HISTORICAL_ALIAS_RECONCILIATION
21-20759,1,M0_NAME_FALLBACK
21-152380,1,M0_NAME_FALLBACK
18-57746,1,HISTORICAL_ALIAS_RECONCILIATION
18-40625,1,HISTORICAL_ALIAS_RECONCILIATION
22-154717,1,M0_NAME_FALLBACK
18-53804,1,M0_NAME_FALLBACK
16-151274,1,HISTORICAL_ALIAS_RECONCILIATION
16-153372,1,M0_NAME_FALLBACK
20-47606,1,HISTORICAL_ALIAS_RECONCILIATION
16-155479,1,M0_NAME_FALLBACK
21-143444,1,HISTORICAL_ALIAS_RECONCILIATION
18-73911,1,M0_NAME_FALLBACK
22-48493,1,M0_NAME_FALLBACK
18-52915,1,M0_NAME_FALLBACK
21-133662,1,M0_NAME_FALLBACK
16-92246,1,M0_NAME_FALLBACK
18-101350,1,HISTORICAL_ALIAS_RECONCILIATION
22-25102,1,HISTORICAL_ALIAS_RECONCILIATION
21-133433,1,M0_NAME_FALLBACK
22-29878,1,HISTORICAL_ALIAS_RECONCILIATION
20-21049,1,M0_NAME_FALLBACK
22-108149,1,HISTORICAL_ALIAS_RECONCILIATION
23-102643,1,M0_NAME_FALLBACK
18-154990,1,HISTORICAL_ALIAS_RECONCILIATION
20-124045,1,HISTORICAL_ALIAS_RECONCILIATION
20-37796,1,HISTORICAL_ALIAS_RECONCILIATION
19-124888,1,HISTORICAL_ALIAS_RECONCILIATION
20-17796,1,M0_NAME_FALLBACK
19-117328,1,M0_NAME_FALLBACK
23-174001,1,HISTORICAL_ALIAS_RECONCILIATION
23-87983,1,EXACT_SIRET_RECONCILIATION
21-26465,1,HISTORICAL_ALIAS_RECONCILIATION
19-34598,1,HISTORICAL_ALIAS_RECONCILIATION
21-156687,1,M0_NAME_FALLBACK
22-50687,1,M0_NAME_FALLBACK
19-113409,1,HISTORICAL_ALIAS_RECONCILIATION
22-94145,1,HISTORICAL_ALIAS_RECONCILIATION
21-130956,1,HISTORICAL_ALIAS_RECONCILIATION
23-24020,1,M0_NAME_FALLBACK
20-155309,1,EXACT_SIRET_RECONCILIATION
22-31357,1,HISTORICAL_ALIAS_RECONCILIATION
22-42168,1,HISTORICAL_ALIAS_RECONCILIATION
22-153148,1,EXACT_SIRET_RECONCILIATION
22-124106,1,EXACT_SIRET_RECONCILIATION
20-153801,1,M0_NAME_FALLBACK
23-168051,1,EXACT_SIRET_RECONCILIATION
23-41648,1,HISTORICAL_ALIAS_RECONCILIATION
22-123803,1,HISTORICAL_ALIAS_RECONCILIATION
19-184042,1,HISTORICAL_ALIAS_RECONCILIATION
22-17364,1,HISTORICAL_ALIAS_RECONCILIATION
16-63741,1,M0_NAME_FALLBACK
24-7715,1,HISTORICAL_ALIAS_RECONCILIATION
20-68622,1,HISTORICAL_ALIAS_RECONCILIATION
23-161829,1,M0_NAME_FALLBACK
15-192356,1,M0_NAME_FALLBACK
21-90254,1,M0_NAME_FALLBACK
23-8217,1,M0_NAME_FALLBACK
