nom_acheteur,site_profil_acheteur,site_proposition,date_dernier_avis,dernier_site_en_date,profile_row_id,profile_buyer_name_raw,profile_buyer_name_normalized,date_dernier_avis_parsed,dernier_site_en_date_bool,profile_raw_value,profile_domain_normalized,profile_registered_domain,profile_subdomain,profile_url_valid,profile_is_email,profile_has_multiple_values,profile_normalization_status,profile_normalization_warning,participation_raw_value,participation_domain_normalized,participation_registered_domain,participation_subdomain,participation_url_valid,participation_is_email,participation_has_multiple_values,participation_normalization_status,participation_normalization_warning
Grand Port Maritime de Marseille,marches-publics.gouv.fr,,2017-08-10,0,11757,Grand Port Maritime de Marseille,grand port maritime de marseille,2017-08-10,False,marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de Marseille,marches.local-trust.com,,2017-01-11,0,11758,Grand Port Maritime de Marseille,grand port maritime de marseille,2017-01-11,False,marches.local-trust.com,marches.local-trust.com,local-trust.com,marches,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de Marseille,www.marseille-publics.gouv.fr,,2017-01-01,0,11759,Grand Port Maritime de Marseille,grand port maritime de marseille,2017-01-01,False,www.marseille-publics.gouv.fr,marseille-publics.gouv.fr,marseille-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de la Guadeloupe,gpm-guadeloupe.omnikles.com,,2020-12-25,1,11760,Grand Port Maritime de la Guadeloupe,grand port maritime de la guadeloupe,2020-12-25,True,gpm-guadeloupe.omnikles.com,gpm-guadeloupe.omnikles.com,omnikles.com,gpm-guadeloupe,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de la Guadeloupe,marches-publics.sis-marches.com,,2015-07-07,0,11761,Grand Port Maritime de la Guadeloupe,grand port maritime de la guadeloupe,2015-07-07,False,marches-publics.sis-marches.com,marches-publics.sis-marches.com,sis-marches.com,marches-publics,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de la Guadeloupe,marches-publics.sis-france.com,,2015-03-17,0,11762,Grand Port Maritime de la Guadeloupe,grand port maritime de la guadeloupe,2015-03-17,False,marches-publics.sis-france.com,marches-publics.sis-france.com,sis-france.com,marches-publics,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de la Guyane,www.marches-publics.gouv.fr,,2016-12-29,1,11763,Grand Port Maritime de la Guyane,grand port maritime de la guyane,2016-12-29,True,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Roanne Agglomération,www.roannais-agglomeration.fr,,2018-08-24,1,11764,Grand Roanne Agglomération,grand roanne agglomeration,2018-08-24,True,www.roannais-agglomeration.fr,roannais-agglomeration.fr,roannais-agglomeration.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Site Cité de Carcassonne,www.grandsite-carcassonne.fr,,2019-07-11,1,11765,Grand Site Cité de Carcassonne,grand site cite de carcassonne,2019-07-11,True,www.grandsite-carcassonne.fr,grandsite-carcassonne.fr,grandsite-carcassonne.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Site Sainte Victoire,grandsitesaintevictoire.e-marchespublics.com,,2016-04-13,1,11766,Grand Site Sainte Victoire,grand site sainte victoire,2016-04-13,True,grandsitesaintevictoire.e-marchespublics.com,grandsitesaintevictoire.e-marchespublics.com,e-marchespublics.com,grandsitesaintevictoire,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
