profile_row_id,domain_source,profile_buyer_name_raw,profile_buyer_name_normalized,url_raw,domain_normalized,registered_domain,subdomain,url_valid,is_email,has_multiple_values,normalization_status,normalization_warning,date_dernier_avis,dernier_site_en_date
122,profile,AGGLOMERATION D AGEN,agglomeration d agen,www.agysoft.marches-publics.info,agysoft.marches-publics.info,marches-publics.info,agysoft,True,False,False,OK_WITH_WARNING,missing_protocol,2019-06-29,False
123,profile,AGGLOMERATION D'AGEN,agglomeration d agen,agen.marcoweb.fr,agen.marcoweb.fr,marcoweb.fr,agen,True,False,False,OK_WITH_WARNING,missing_protocol,2017-02-05,True
124,profile,AGGLOMERATION D'AGEN,agglomeration d agen,caa.e-marchespublics.com,caa.e-marchespublics.com,e-marchespublics.com,caa,True,False,False,OK_WITH_WARNING,missing_protocol,2015-06-23,False
125,profile,AGGLOMERATION DE CHAUMONT,agglomeration de chaumont,marches-publics.info,marches-publics.info,marches-publics.info,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-11-03,True
126,profile,AGGLOMERATION DE CHAUMONT,agglomeration de chaumont,agysoft.marches-publics.info,agysoft.marches-publics.info,marches-publics.info,agysoft,True,False,False,OK_WITH_WARNING,missing_protocol,2019-02-19,False
127,profile,AGGLOMERATION DE CHAUMONT,agglomeration de chaumont,chaumont-agglo.marcoweb.fr,chaumont-agglo.marcoweb.fr,marcoweb.fr,chaumont-agglo,True,False,False,OK_WITH_WARNING,missing_protocol,2018-04-19,False
128,profile,AGGLOMERATION ROYAN ATLANTIQUE,agglomeration royan atlantique,www.e-marchespublics.com,e-marchespublics.com,e-marchespublics.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-07-07,True
129,profile,AGORA,agora,www.gazettenpdc.fr,gazettenpdc.fr,gazettenpdc.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-11-17,True
130,profile,AGOSPAP,agospap,agospap.e-marchespublics.com,agospap.e-marchespublics.com,e-marchespublics.com,agospap,True,False,False,OK_WITH_WARNING,missing_protocol,2020-02-05,True
131,profile,AGOSPAP,agospap,www.boamp.fr,boamp.fr,boamp.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2016-10-20,False
132,profile,AGRAF,agraf,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-07-22,True
133,profile,AGRAN,agran,assemblee-nationale.achatpublic.com,assemblee-nationale.achatpublic.com,achatpublic.com,assemblee-nationale,True,False,False,OK_WITH_WARNING,missing_protocol,2015-04-01,True
134,profile,AGROTEC,agrotec,www.synapse-entreprises.com,synapse-entreprises.com,synapse-entreprises.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-03-24,True
135,profile,AGS NATURE,ags nature,www.marchespublics.ledauphine-legales.com,marchespublics.ledauphine-legales.com,ledauphine-legales.com,marchespublics,True,False,False,OK_WITH_WARNING,missing_protocol,2016-01-29,True
136,profile,AHNAC,ahnac,www.ahnac.com,ahnac.com,ahnac.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-12-16,True
137,profile,AHNAC,ahnac,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-06-14,False
138,profile,AHNAC,ahnac,www.boamp.fr,boamp.fr,boamp.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-03-30,False
139,profile,AIFE,aife,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-01-22,True
140,profile,AIGUILHE,aiguilhe,marchespublics.cdg43.fr,marchespublics.cdg43.fr,cdg43.fr,marchespublics,True,False,False,OK_WITH_WARNING,missing_protocol,2017-11-17,True
141,profile,AIR PACA,air paca,www.airpaca.org,airpaca.org,airpaca.org,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-06-14,True
142,profile,AKTO,akto,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-12-15,True
